1	На следующий день после того, как он помог озеру, Пин-Пин отправился к самому старому ежу на Холме Нор.	Al día siguiente de ayudar al lago, PinPin fue a ver al erizo más anciano de la Colina de las Madrigueras.
2	Каким он будет — очень старый, очень мудрый ёж?	¿Cómo sería un erizo muy viejo y muy sabio?
3	Вот и он, рядом с домом под корнями огромного дерева.	Allí estaba, junto a una casa escondida bajo las raíces de un gran árbol.
4	— Здравствуй, Пин-Пин, — сказал Старейшина, не оборачиваясь. — Я чувствовал, что ты сегодня придёшь.	—Hola, PinPin —dijo el anciano, sin darse la vuelta—. Presentía que vendrías hoy.
5	— Вы знали? Как?	—¿Lo sabía? ¿Cómo?
6	— Ветер и листья приносят новости, — сказал Старейшина. — Я прислушиваюсь.	—El viento y las hojas traen noticias —dijo el anciano—. Yo escucho.
7	— Моя золотая иголка помогла озеру, — сказал Пин-Пин. — Откуда в ней волшебство? — Хороший вопрос. Пойдём со мной.	—Mi púa dorada ayudó al lago —dijo PinPin—. ¿De dónde viene su magia? —Es una buena pregunta. Ven conmigo.
8	По пути к двери Пин-Пин остановился. — Этот маленький росток застрял.	De camino a la puerta, PinPin se detuvo. —Esa plantita está atrapada.
9	Он осторожно поднял палочку, чтобы листочки могли расправиться.	Levantó el palito con cuidado, para que las hojas pudieran abrirse.
10	— Вот. Теперь можно расти, — сказал Пин-Пин. Старейшина улыбнулся.	—Ya está. Ahora puedes crecer —dijo PinPin. El anciano sonrió.
11	— А теперь пойдём туда, где я храню свои вопросы, — сказал Старейшина.	—Ahora ven a ver dónde guardo mis preguntas —dijo el anciano.
12	Внутри были книги, свёрнутые карты, мягкая постель и маленький стол со следами чернил.	Dentro había libros, mapas enrollados, una cama blandita y una mesita manchada de tinta.
13	— Вы пишете книги? — Иногда. Сегодня я записывал то, что заметил.	—¿Escribe libros? —A veces. Hoy estaba escribiendo lo que había observado.
14	— Вы всё знаете? — спросил Пин-Пин. — О нет, — сказал Старейшина. — Поэтому я и читаю.	—¿Lo sabe todo? —preguntó PinPin. —Oh, no —dijo el anciano—. Por eso leo.
15	Гладкий камешек. Пустая ракушка. Семечко в маленькой коробочке. — Маленькие вещи помогают задавать большие вопросы, — сказал Старейшина.	Una piedra lisa. Una concha vacía. Una semilla en una cajita. —Las cosas pequeñas nos ayudan a hacer grandes preguntas —dijo el anciano.
16	Пин-Пин нашёл на карте озеро. Вокруг него были маленькие домики. — Как много соседей!	PinPin encontró el lago en un mapa. A su alrededor había casitas. —¡Cuántos vecinos!
17	— Внизу есть картины ещё старше этих, — сказал Старейшина. — Хочешь посмотреть? — Да!	—Abajo hay pinturas más antiguas —dijo el anciano—. ¿Quieres verlas? —¡Sí!
18	Деревянная дверь открылась. Тёплый свет ламп освещал каменную лестницу.	La puerta de madera se abrió. Unas lámparas de luz cálida iluminaban la escalera de piedra.
19	— Не спеши, — сказал Старейшина. — Сначала одна ступенька, потом другая. Пин-Пин шёл следом.	—Despacio —dijo el anciano—. Un escalón, y después otro. PinPin lo siguió.
20	На повороте Старейшина подождал. — Всё хорошо? — Хорошо, — сказал Пин-Пин.	En el descansillo, el anciano esperó. —¿Todo bien? —Todo bien —dijo PinPin.
21	Ещё один короткий спуск. И проход стал широким.	Otro pequeño tramo de escalera. Después, el pasadizo se abrió.
22	Они оказались на широкой каменной площадке внутри холма. Вокруг были большие картины на стенах.	Llegaron a una amplia terraza de piedra dentro de la colina. Grandes pinturas cubrían las paredes a su alrededor.
23	— Солнечный свет! — сказал Пин-Пин. Высоко над ними щель в склоне пропускала дневной свет. Настенные лампы согревали тёмные уголки.	—¡Luz del sol! —dijo PinPin. Muy arriba, una abertura en la ladera dejaba entrar el día. Las lámparas de las paredes daban calidez a los rincones más oscuros.
24	— Это священные истории, — сказал Старейшина. — Некоторые лесные семьи очень ими дорожат.	—Son historias sagradas —dijo el anciano—. Algunas familias del bosque las guardan como un tesoro.
25	— Священные? — Очень дорогие для них. К ним относятся с особой заботой.	—¿Sagradas? —Muy valiosas para ellas. Las tratan con un cuidado especial.
26	— Они верят в богов и духов, — сказал Старейшина. — Их истории, молитвы и обычаи благодарить — часть их религии. Другие семьи могут верить по-другому.	—Creen en dioses y espíritus —dijo el anciano—. Sus historias, oraciones y formas de dar las gracias son parte de su religión. Otras familias pueden creer cosas distintas.
27	Пин-Пин посмотрел на женщину с круглым животом. — Там внутри малыш? — Да. В этих историях её зовут Мать Жизни.	PinPin miró a una mujer de vientre redondo. —¿Tiene un bebé dentro? —Sí. En estas historias es la Madre de la Vida.
28	— Она богиня? — Да. Богиня плодородия. Это значит — новой жизни: рождаются малыши, а из семян вырастает еда.	—¿Es una diosa? —Sí. Una diosa de la fertilidad. Eso significa nueva vida: bebés que nacen y semillas que crecen y nos dan comida.
29	Пин-Пин нашёл нарисованного малыша. А потом — крошечные зелёные ростки. — И малышам, и росткам нужна забота, — сказал он.	PinPin encontró al bebé pintado. Después vio los pequeños brotes verdes. —Los dos necesitan cuidados —dijo.
30	— Некоторые семьи приносят сюда семена, — сказал Старейшина. — Они молятся. Просят богиню о помощи или говорят ей спасибо.	—Algunas familias traen semillas aquí —dijo el anciano—. Rezan. Piden ayuda a la diosa o le dan las gracias.
31	— А потом? — спросил Пин-Пин. — Потом идут домой и заботятся о своих малышах и садах.	—¿Y después? —preguntó PinPin. —Después vuelven a casa y cuidan de sus bebés y sus huertos.
32	На следующей стене был сильный мужчина с большим щитом. За ним стояли семьи, прижавшись друг к другу.	En la siguiente pared había un hombre fuerte con un gran escudo. Detrás de él, varias familias se juntaban buscando refugio.
33	— Кто это? — Защитник со Щитом. В этих историях он бог войны.	—¿Quién es? —El Guardián del Escudo. En estas historias es un dios de la guerra.
34	— Что такое война? — Это когда большие группы людей сражаются друг с другом. Люди могут пострадать, а их дома — разрушиться. Здесь он защищает их от беды.	—¿Qué es la guerra? —Cuando grandes grupos de personas luchan entre sí. Puede hacer daño a la gente y destruir sus hogares. Aquí él se pone delante del peligro para protegerlos.
35	— Если темнота всё унесёт, где будут жить малыши? — спросил Пин-Пин. Он смотрел на маленькие дома за щитом.	—Si la oscuridad se lo llevara todo, ¿dónde vivirían los pequeños? —preguntó PinPin. Miró las casitas detrás del escudo.
36	— Это картина, а здесь ты в безопасности, — сказал Старейшина. — Она напоминает, почему так важно защищать других.	—Esto es una pintura, y aquí estás a salvo —dijo el anciano—. Nos recuerda por qué es tan importante proteger a los demás.
37	— Он любит драться? — Лучший защитник хочет, чтобы все были в безопасности. Сила не даёт права обижать других.	—¿Le gusta pelear? —El mejor defensor quiere que todos estén a salvo. Ser fuerte no es una razón para hacer daño a alguien.
38	На другой картине свет оттеснял огромную холодную тьму. Между ними светился маленький тёплый дом.	Otra pintura mostraba la luz haciendo retroceder una gran oscuridad helada. Entre ambas brillaba un pequeño refugio.
39	— Но я люблю ночь, — сказал Пин-Пин. — Мама укладывает меня спать.	—Pero a mí me gusta la noche —dijo PinPin—. Mamá me arropa.
40	— И я люблю, — сказал Старейшина. — Ночью мы отдыхаем. А тьма в этой истории — это опасность, которая может отнять у них дом.	—A mí también —dijo el anciano—. La noche nos deja descansar. La oscuridad de esta historia representa un peligro que podría quitarles su hogar.
41	На последней стене было много маленьких помощников. Одни несли дерево. Другие — еду. Кто-то держал малышей.	En la última pared había muchos pequeños ayudantes. Unos llevaban madera. Otros traían comida. Algunos sostenían a los bebés.
42	— Защитник со Щитом может всё это сделать? — Нет, — сказал Старейшина. — Никто не может всё один.	—¿Puede el Guardián del Escudo hacer todos esos trabajos? —No —dijo el anciano—. Nadie puede.
43	— Сильная рука держит щит. Другие лапки выращивают еду и строят тёплые дома. Все нужны друг другу.	—Un brazo fuerte puede sostener un escudo. Otras patitas cultivan comida y construyen hogares cálidos. Se necesitan unos a otros.
44	— А моя иголка? — спросил Пин-Пин. — Твой дар может помочь. Сначала посмотри. Послушай. Спроси, кому ты нужен. Тебе не обязательно помогать одному.	—¿Y mi púa? —preguntó PinPin. —Tu don puede ayudar. Primero, mira. Escucha. Pregunta quién te necesita. No tienes que ayudar tú solo.
45	Пин-Пин помолчал. Он думал об озере, о маленьком ростке и о домах на карте.	PinPin se quedó callado. Pensó en el lago, en la plantita y en las casas del mapa.
46	— Пойдём обратно? — спросил Старейшина. Пин-Пин кивнул. Теперь у него было ещё больше вопросов.	—¿Volvemos? —preguntó el anciano. PinPin asintió. Ahora tenía más preguntas.
47	Они поднимались. Одна широкая ступенька, потом другая.	Subieron. Un escalón ancho, y después otro.
48	Вот и знакомая маленькая лампа. Пин-Пин повернул за угол.	Allí estaba otra vez la pequeña lámpara. PinPin dobló la esquina.
49	Снова появились книги и стол со следами чернил. Они вернулись в дом Старейшины.	Volvieron a aparecer los libros y la mesa manchada de tinta. Estaban de nuevo en la casa del anciano.
50	Старейшина закрыл дверь к лестнице. — Что мне записать? — Как моё волшебство может помочь? — сказал Пин-Пин.	El anciano cerró la puerta de la escalera. —¿Qué escribo? —¿Cómo puede ayudar mi magia? —dijo PinPin.
51	— В твоей иголке живёт старое волшебство наших предков, — сказал Старейшина. — Нам ещё многому предстоит научиться. Не будем спешить.	—Tu púa guarda una magia antigua de nuestros antepasados —dijo el anciano—. Aún tenemos mucho que aprender. Iremos con calma.
52	Снаружи листья светились золотом. Маленький росток свободно стоял рядом с папоротником.	Fuera, las hojas brillaban como el oro. La plantita crecía libre junto al helecho.
53	— Завтра на рассвете, — сказал Старейшина, — приходи к дубу на вершине холма. Начнём с того, что прислушаемся.	—Mañana al amanecer —dijo el anciano—, ven al roble de la cima. Empezaremos escuchando.
54	— На рассвете, — сказал Пин-Пин. — Спасибо. Старейшина улыбнулся. — Приноси свои вопросы.	—Al amanecer —dijo PinPin—. Gracias. El anciano sonrió. —Trae tus preguntas.
55	Пин-Пин пошёл по тропинке. Он ещё не знал всего. Но теперь знал, с чего начать.	PinPin se puso en camino. Todavía no lo sabía todo. Pero ahora sabía por dónde empezar.
56		
57		
