1	Пин-Пин идёт по тропе к холму.	PinPin walks along the path toward the hill.	PinPin camina por el sendero hacia la colina.
2	Пин-Пин смотрит вверх под аркой из листьев.	PinPin looks up beneath an arch of leaves.	PinPin mira hacia arriba bajo un arco de hojas.
3	Пин-Пин подходит к дому Старейшины под корнями дерева.	PinPin approaches the Elder's home beneath tree roots.	PinPin se acerca a la casa del anciano bajo las raíces.
4	Старейшина смотрит в сторону, приветствуя подошедшего Пин-Пина.	The Elder faces away while greeting the arriving PinPin.	El anciano saluda a PinPin sin darse la vuelta.
5	Пин-Пин смотрит на Старейшину, чьё плечо видно справа.	PinPin looks toward the Elder's visible shoulder at right.	PinPin mira al anciano, cuyo hombro se ve a la derecha.
6	Свет проходит сквозь крону дерева.	Light shines through the leafy tree canopy.	La luz atraviesa la copa del árbol.
7	Старейшина и Пин-Пин смотрят друг другу в глаза у норы.	The Elder and PinPin face one another outside the burrow.	El anciano y PinPin se miran frente a la madriguera.
8	Оба ежа замечают росток, прижатый палочкой.	Both hedgehogs notice the plant trapped beneath a stick.	Los dos erizos observan la planta atrapada bajo un palo.
9	Пин-Пин двумя передними лапками поднимает палочку над ростком.	PinPin lifts the stick above the plant with two forepaws.	PinPin levanta el palo sobre la planta con las dos patas delanteras.
10	Пин-Пин кладёт палочку рядом с освобождённым ростком.	PinPin puts the stick beside the freed plant.	PinPin deja el palo junto a la planta liberada.
11	Старейшина входит в дом под корнями; Пин-Пин идёт следом.	The Elder enters the root home with PinPin following.	El anciano entra en la casa entre raíces y PinPin lo sigue.
12	Уютный дом с книгами, картой, письменным столом и постелью.	A cozy home with books, a map, writing desk and bed.	Una casa acogedora con libros, mapa, escritorio y cama.
13	Старейшина пишет пером, сидя на табурете; Пин-Пин наблюдает.	The Elder writes with a feather from a stool while PinPin watches.	El anciano escribe con una pluma desde un taburete mientras PinPin observa.
14	Ежи смотрят друг на друга над открытой книгой.	The hedgehogs look at one another over an open book.	Los erizos se miran junto a un libro abierto.
15	Оба смотрят на ракушку, камень и коробочку с семечком.	Both look toward a shell, stone and seed box on the shelf.	Ambos miran una concha, una piedra y una caja con una semilla.
16	Старейшина показывает озеро на карте; Пин-Пин смотрит вверх.	The Elder points to the lake on the map as PinPin looks up.	El anciano señala el lago en el mapa y PinPin mira hacia arriba.
17	Старейшина и Пин-Пин беседуют у закрытой внутренней двери.	The Elder and PinPin speak beside the closed inner door.	El anciano y PinPin conversan junto a la puerta interior cerrada.
18	Открытая дверь ведёт на освещённую каменную площадку лестницы.	The open door leads onto the lit stone stair landing.	La puerta abierta da al descansillo iluminado de piedra.
19	Пин-Пин следует за Старейшиной вниз по широким ступеням.	PinPin follows the Elder down the broad steps.	PinPin sigue al anciano por los escalones anchos.
20	Ежи останавливаются на площадке и смотрят друг на друга.	The hedgehogs stop on the landing and look at each other.	Los erizos se detienen en el descansillo y se miran.
21	Оба спускаются по нижнему пролёту к пещере.	Both descend the lower flight toward the cave.	Ambos bajan el tramo inferior hacia la cueva.
22	Ежи выходят на широкую каменную площадку среди настенных картин.	The hedgehogs enter a broad stone terrace surrounded by murals.	Los erizos llegan a una amplia terraza de piedra rodeada de murales.
23	Небо и солнечный свет видны через наклонную щель в своде пещеры.	Sky and sunlight enter through a sloping shaft in the cave roof.	El cielo y la luz entran por una abertura inclinada en el techo.
24	Оба ежа рассматривают старые картины на стене пещеры.	Both hedgehogs examine the old paintings on the cave wall.	Los dos erizos contemplan las antiguas pinturas de la cueva.
25	Пин-Пин задаёт Старейшине вопрос рядом с картиной Матери Жизни.	PinPin asks the Elder a question beside the Mother of Life mural.	PinPin pregunta al anciano junto al mural de la Madre de la Vida.
26	Старейшина отвечает Пин-Пину, глядя ему в глаза.	The Elder answers PinPin while looking into his eyes.	El anciano responde a PinPin mirándolo a los ojos.
27	На стене нарисована беременная Мать Жизни, рядом колыбель и ростки.	The painted pregnant Mother of Life appears beside a cradle and growing shoots.	La Madre de la Vida embarazada aparece pintada junto a una cuna y brotes.
28	Пин-Пин и Старейшина беседуют перед картиной богини.	PinPin and the Elder speak before the goddess painting.	PinPin y el anciano conversan ante la pintura de la diosa.
29	Деталь картины: малыш в колыбели и растущие злаки.	Mural detail: a baby in a cradle and growing grain.	Detalle del mural: un bebé en una cuna y cereales que crecen.
30	Ежи рассматривают чашу с семенами под картиной.	The hedgehogs look toward the seed bowl beneath the painting.	Los erizos miran el cuenco de semillas bajo la pintura.
31	Старейшина и Пин-Пин обращаются друг к другу рядом с каменной полкой.	The Elder and PinPin face each other beside the stone ledge.	El anciano y PinPin se miran junto al saliente de piedra.
32	Нарисованный сильный защитник держит щит перед семьями и бурей.	A painted strong defender holds a shield between families and a storm.	Un defensor fuerte pintado sostiene un escudo entre familias y tormenta.
33	Пин-Пин спрашивает Старейшину о защитнике на стене.	PinPin asks the Elder about the defender on the wall.	PinPin pregunta al anciano por el defensor del mural.
34	Старейшина отвечает Пин-Пину рядом с картиной защитника.	The Elder answers PinPin beside the defender mural.	El anciano responde a PinPin junto al mural del defensor.
35	На картине щит справа защищает дома и семьи слева от бури.	The painted shield at right protects homes and families at left from the storm.	El escudo pintado a la derecha protege a los hogares y familias de la izquierda.
36	Старейшина успокаивает Пин-Пина в тёплом свете пещеры.	The Elder reassures PinPin in the cave's warm light.	El anciano tranquiliza a PinPin bajo la luz cálida de la cueva.
37	Ежи беседуют перед картиной щита и защищённых домов.	The hedgehogs speak before the painted shield and sheltered homes.	Los erizos conversan ante el escudo y los hogares protegidos del mural.
38	Картина золотого света, живого дерева и холодной тёмной бури.	A mural of golden light, a living tree and a cold dark storm.	Un mural de luz dorada, un árbol vivo y una tormenta fría y oscura.
39	Пин-Пин смотрит на Старейшину возле картины света и тьмы.	PinPin looks toward the Elder beside the light-and-darkness mural.	PinPin mira al anciano junto al mural de luz y oscuridad.
40	Старейшина тепло отвечает ребёнку; картина остаётся позади них.	The Elder warmly answers the child with the mural behind them.	El anciano responde con cariño al pequeño, con el mural detrás.
41	На южной стене нарисованы звери, которые строят, носят еду и заботятся о малышах.	The south mural shows animals building, carrying food and caring for babies.	El mural del sur muestra animales construyendo, llevando comida y cuidando bebés.
42	Пин-Пин и Старейшина беседуют у картины общих дел.	PinPin and the Elder speak beside the shared-work mural.	PinPin y el anciano conversan junto al mural del trabajo compartido.
43	Старейшина показывает помощников на стене, и Пин-Пин следует его взгляду.	The Elder indicates the painted helpers and PinPin follows his attention.	El anciano muestra a los ayudantes pintados y PinPin sigue su mirada.
44	Старейшина и Пин-Пин спокойно беседуют у низкой скамьи.	The Elder and PinPin talk quietly by the low bench.	El anciano y PinPin hablan tranquilos junto al banco bajo.
45	Пин-Пин задумался, а Старейшина спокойно сидит рядом.	PinPin thinks quietly while the Elder sits nearby.	PinPin piensa en silencio mientras el anciano está a su lado.
46	Ежи возвращаются к той же лестнице в углу пещеры.	The hedgehogs return to the same staircase in the cave corner.	Los erizos vuelven a la misma escalera del rincón de la cueva.
47	Пин-Пин поднимается первым, Старейшина следует за ним.	PinPin climbs first with the Elder following.	PinPin sube primero y el anciano lo sigue.
48	Пин-Пин поворачивает на знакомой освещённой площадке.	PinPin turns at the familiar lamp-lit landing.	PinPin gira en el conocido descansillo iluminado.
49	Ежи проходят через открытую дверь обратно в дом.	The hedgehogs pass through the open door back into the home.	Los erizos atraviesan la puerta abierta para volver a la casa.
50	Старейшина записывает вопрос Пин-Пина за своим столом.	The Elder writes down PinPin's question at his desk.	El anciano escribe la pregunta de PinPin en su escritorio.
51	Старейшина поворачивается от книги к Пин-Пину.	The Elder turns from the book toward PinPin.	El anciano se vuelve del libro hacia PinPin.
52	Ежи выходят из дома под корнями в золотой вечерний свет.	The hedgehogs emerge from the root home into golden evening light.	Los erizos salen de la casa entre raíces a la luz dorada de la tarde.
53	Пустой дуб на вершине холма — место завтрашней встречи.	The empty hilltop oak is the place of tomorrow's meeting.	El roble vacío de la cima es el lugar de la cita de mañana.
54	Пин-Пин оборачивается к Старейшине, и они прощаются, глядя друг на друга.	PinPin faces the Elder for a goodbye with clear mutual gaze.	PinPin mira al anciano para despedirse y ambos se miran.
55	Пин-Пин уходит по тропинке от холма на закате.	PinPin walks away from the hill along the sunset path.	PinPin se aleja de la colina por el sendero al atardecer.
56	Закат виден через пустое окошко из листьев.	The sunset shows through an empty window of leaves.	El atardecer se ve por una ventana vacía entre hojas.
57	Пин-Пин выглядывает через листья и смотрит на читателя.	PinPin peeks through the leaves toward the reader.	PinPin se asoma entre las hojas y mira al lector.
