Мама держит малыша Пом-Пома, а Пин-Пин стоит рядом перед домиком утром.|||Mama holds baby PomPom beside PinPin outside the cottage in the morning.|||Mamá sostiene al bebé PomPom junto a PinPin ante la casita por la mañana.
Мама с малышом и Пин-Пин идут по туманной лесной дорожке.|||Mama carries the baby while PinPin walks ahead along the misty path.|||Mamá lleva al bebé mientras PinPin camina por el sendero entre la niebla.
Пин-Пин рассматривает каплю росы на листе; Мама с малышом смотрят сзади.|||PinPin studies a hanging dewdrop while Mama and the baby watch behind him.|||PinPin observa una gota de rocío mientras Mamá y el bebé miran detrás.
Капелька лежит на носу смеющегося Пин-Пина; Пом-Пом смеётся в Маминых руках.|||A tiny drop rests on PinPin’s nose as he and the safely carried baby laugh.|||Una gotita descansa en la nariz de PinPin mientras él y el bebé ríen.
Пять семей идут к лесной школе; Мама несёт Пом-Пома.|||Five families walk toward the woodland school, with PomPom carried by Mama.|||Cinco familias caminan hacia la escuela del bosque; Mamá lleva a PomPom.
Пин-Пина встречают Лулу, Туту, мышка Мила и барсучонок Бруно.|||Lulu, Tutu, Mila the mouse and Bruno the badger greet PinPin.|||Lulu, Tutu, la ratoncita Mila y el tejón Bruno reciben a PinPin.
Пин-Пин и малыш машут друг другу; Мама поддерживает Пом-Пома обеими лапами.|||PinPin and the baby wave goodbye while Mama supports PomPom with both arms.|||PinPin y el bebé se despiden con la pata mientras Mamá sostiene a PomPom con ambos brazos.
Старейшина приходит с посохом; пятеро учеников и Сова встречают его.|||The Elder arrives holding his staff as five pupils and the owl greet him.|||El Anciano llega con su bastón; cinco alumnos y la maestra Búho lo reciben.
Старейшина подмигивает и кланяется шишке на пеньке.|||The Elder gives a playful wink and bows to a pinecone on the stump.|||El Anciano guiña un ojo y se inclina juguetonamente ante una piña sobre el tocón.
Мила показывает на шишку; Бруно смеётся рядом с ней.|||Mila points at the pinecone while Bruno laughs beside her.|||Mila señala la piña mientras Bruno ríe a su lado.
Старейшина передаёт шишку в лапки Пин-Пина.|||The Elder hands the pinecone into PinPin’s paws.|||El Anciano entrega la piña a PinPin.
Пин-Пин кладёт шишку на поднос на столе; Старейшина уходит, а Сова собирает друзей.|||PinPin places the cone on a tabletop tray as the Elder leaves and the owl gathers the others.|||PinPin deja la piña en una bandeja sobre la mesa mientras el Anciano se marcha y la maestra reúne a los demás.
Лулу поднимает уши и слушает листву вместе с Пин-Пином и Туту.|||Lulu lifts her ears and listens to the canopy beside PinPin and Tutu.|||Lulu levanta las orejas y escucha las hojas junto a PinPin y Tutu.
Над друзьями ветер шевелит листья старого дуба.|||A breeze stirs the oak leaves overhead.|||La brisa mueve las hojas del roble.
Сова ведёт пятерых учеников по сухой дорожке вдоль ручья.|||The owl leads five pupils along the dry stream-bank path.|||La maestra guía a cinco alumnos por el sendero seco junto al arroyo.
Пятеро друзей слушают воду с сухого берега, а Сова наблюдает сзади.|||Five friends listen to the water from the dry bank with the owl behind them.|||Cinco amigos escuchan el agua desde la orilla seca, con la maestra detrás.
Туту и Мила поворачиваются к стуку за пределами кадра.|||Tutu and Mila turn toward tapping beyond the frame.|||Tutu y Mila se vuelven hacia los golpecitos fuera de la imagen.
Пятеро учеников следуют за Совой по тропинке к старому сухому стволу.|||Five pupils follow the owl toward the pale old snag.|||Cinco alumnos siguen a la maestra hacia el viejo tronco seco.
Дятел цепляется за светлый ствол и стучит клювом.|||A woodpecker grips the pale trunk and taps with its beak.|||Un pájaro carpintero se aferra al tronco claro y golpea con el pico.
С высоты дятла видно, как пятеро учеников и Сова смотрят вверх.|||From the woodpecker’s height, five pupils and the owl look up from the ground.|||Desde la altura del pájaro se ven cinco alumnos y la maestra mirando hacia arriba.
